"","Percent.Agreement","Number.Rejected","Percent.Shared.with.T.Test.Ranks"
"wilcox_tss",83.3333333333333,6,83.3333333333333
"wilcox_tmm",77.7777777777778,9,55.5555555555556
"wilcox_none",71.4285714285714,7,71.4285714285714
"wilcox_css",81.8181818181818,11,45.4545454545455
"voom_tss",0,0,0
"voom_tmm",0,0,0
"voom_css",2.20588235294118,680,0.735294117647059
"t-test_tss",0,0,0
"t-test_tmm",0,0,0
"t-test_ranks",100,5,100
"t-test_none",0,0,0
"t-test_css",0,0,0
"metagenomeSeq",4.86486486486486,370,1.35135135135135
"edgeR",6.56716417910448,335,1.49253731343284
"DESeq2",27.0833333333333,48,10.4166666666667
"aldex",100,3,100
